minbound,shape,unit
84369,11,3
447804,10,3
0,8,3

IX,IY,IZ,value
6,3,1,0.267606

6,3,2,0.605634

6,3,3,0.830986

6,3,4,0.943662

6,3,5,1

6,3,6,1

6,3,7,1

6,4,0,-1

6,4,1,0.309859

6,4,2,0.605634

6,4,3,0.84507

6,4,4,0.943662

6,4,5,1

6,4,6,1

6,4,7,1

6,5,0,-1

6,5,1,0.309859

6,5,2,0.633803

6,5,3,0.816901

6,5,4,0.943662

6,5,5,1

6,5,6,1

6,5,7,1

6,6,0,-1

6,6,1,0.352113

6,6,2,0.647887

6,6,3,0.830986

6,6,4,0.943662

6,6,5,1

6,6,6,1

6,6,7,1

6,7,0,-1

6,7,1,0.394366

6,7,2,0.633803

6,7,3,0.84507

6,7,4,0.943662

6,7,5,1

6,7,6,1

6,7,7,1

6,8,0,-1

6,8,1,0.422535

6,8,2,0.605634

6,8,3,0.788732

6,8,4,0.929577

6,8,5,1

6,8,6,1

6,8,7,1

6,9,0,-1

6,9,1,-1

6,9,2,-1

6,9,3,-1

6,9,4,-1

6,9,5,-1

6,9,6,-1

6,9,7,-1

7,0,0,-1

7,0,1,-1

7,0,2,-1

7,0,3,-1

7,0,4,-1

7,0,5,-1

7,0,6,-1

7,0,7,-1

7,1,0,-1

7,1,1,-1

7,1,2,-1

7,1,3,-1

7,1,4,-1

7,1,5,-1

7,1,6,-1

7,1,7,-1

7,2,0,-1

7,2,1,-1

7,2,2,-1

7,2,3,-1

7,2,4,-1

7,2,5,-1

7,2,6,-1

7,2,7,-1

7,3,0,-1

7,3,1,0.211268

7,3,2,0.577465

7,3,3,0.859155

7,3,4,0.943662

7,3,5,1

7,3,6,1

7,3,7,1

7,4,0,-1

7,4,1,0.309859

7,4,2,0.591549

7,4,3,0.816901

7,4,4,0.943662

7,4,5,1

7,4,6,1

7,4,7,1

7,5,0,-1

7,5,1,0.338028

7,5,2,0.619718

7,5,3,0.816901

7,5,4,0.943662

7,5,5,1

7,5,6,1

7,5,7,1

7,6,0,-1

7,6,1,0.366197

7,6,2,0.619718

7,6,3,0.830986

7,6,4,0.943662

7,6,5,1

7,6,6,1

7,6,7,1

7,7,0,-1

7,7,1,0.450704

7,7,2,0.619718

7,7,3,0.802817

7,7,4,0.929577

7,7,5,1

7,7,6,1

7,7,7,1

7,8,0,-1

7,8,1,0.394366

7,8,2,0.633803

7,8,3,0.774648

7,8,4,0.873239

7,8,5,1

7,8,6,1

7,8,7,1

7,9,0,-1

7,9,1,0.366197

7,9,2,0.535211

7,9,3,0.746479

7,9,4,0.859155

7,9,5,1

7,9,6,1

7,9,7,1

8,0,0,-1

8,0,1,-1

8,0,2,-1

8,0,3,-1

8,0,4,-1

8,0,5,-1

8,0,6,-1

8,0,7,-1

8,1,0,-1

8,1,1,-1

8,1,2,-1

8,1,3,-1

8,1,4,-1

8,1,5,-1

8,1,6,-1

8,1,7,-1

8,2,0,-1

8,2,1,-1

8,2,2,-1

8,2,3,-1

8,2,4,-1

8,2,5,-1

8,2,6,-1

8,2,7,-1

8,3,0,-1

8,3,1,0.112676

8,3,2,0.492958

8,3,3,0.816901

8,3,4,0.943662

8,3,5,1

8,3,6,1

8,3,7,1

8,4,0,-1

8,4,1,0.267606

8,4,2,0.591549

8,4,3,0.816901

8,4,4,0.943662

8,4,5,1

8,4,6,1

8,4,7,1

8,5,0,-1

8,5,1,0.323944

8,5,2,0.633803

8,5,3,0.830986

8,5,4,0.943662

8,5,5,1

8,5,6,1

8,5,7,1

8,6,0,-1

8,6,1,0.380282

8,6,2,0.619718

8,6,3,0.802817

8,6,4,0.915493

8,6,5,1

8,6,6,1

8,6,7,1

8,7,0,-1

8,7,1,0.380282

8,7,2,0.633803

8,7,3,0.760563

8,7,4,0.901408

8,7,5,1

8,7,6,1

8,7,7,1

8,8,0,-1

8,8,1,0.352113

8,8,2,0.619718

8,8,3,0.774648

8,8,4,0.859155

8,8,5,1

8,8,6,1

8,8,7,1

8,9,0,-1

8,9,1,0.394366

8,9,2,0.549296

8,9,3,0.732394

8,9,4,0.859155

8,9,5,0.971831

8,9,6,1

8,9,7,1

9,0,0,-1

9,0,1,-1

9,0,2,-1

9,0,3,-1

9,0,4,-1

9,0,5,-1

9,0,6,-1

9,0,7,-1

9,1,0,-1

9,1,1,-1

9,1,2,-1

9,1,3,-1

9,1,4,-1

9,1,5,-1

9,1,6,-1

9,1,7,-1

9,2,0,-1

9,2,1,-1

