,0
380,4644
381,4645
382,4651
383,4652
384,4653
385,4658
386,4659
387,4660
388,4665
389,4666
390,4667
391,4668
392,4669
393,4675
394,4676
395,4677
396,4678
397,4687
398,4700
399,4715
400,4731
401,4732
402,4748
403,4749
404,4765
405,4779
406,4801
407,4809
408,4816
409,4824
410,4833
411,4834
412,4845
413,4858
414,4873
415,4889
416,4890
417,4907
418,4923
419,5031
420,5048
421,5538
422,5539
423,5540
424,5555
425,5569
426,5570
427,5580
428,5581
429,5582
430,5583
431,5590
432,5591
433,5592
434,5593
435,5594
436,5595
437,5597
438,5598
439,5599
440,5600
441,5601
442,5602
443,5604
444,5605
445,5606
446,5607
447,5608
448,5609
449,5613
450,5614
451,5615
452,5616
453,5617
454,5623
455,5624
456,5625
457,5626
458,5627
459,5635
460,5636
461,5648
462,5662
463,5663
464,5664
465,5679
466,5680
467,5681
468,5696
469,5697
470,5713
471,5727
472,5739
473,5749
474,5750
475,5757
476,5758
477,5759
478,5764
479,5765
480,5766
481,5771
482,5772
483,5773
484,5774
485,5781
486,5782
487,5783
488,5793
489,5806
490,5821
491,5837
492,5838
493,5854
494,5855
495,5871
496,5885
497,5922
498,5930
499,5939
500,5940
501,5951
502,5964
503,5979
504,5995
505,5996
506,6013
507,6029
508,6137
509,6154
510,6643
511,6644
512,6645
513,6646
514,6661
515,6675
516,6676
517,6686
518,6687
519,6688
520,6696
521,6697
522,6698
523,6699
524,6700
525,6704
526,6705
527,6706
528,6707
529,6708
530,6710
531,6711
532,6712
533,6713
534,6714
535,6719
536,6720
537,6721
538,6722
539,6723
540,6729
541,6730
542,6731
543,6732
544,6741
545,6742
546,6754
547,6768
548,6769
549,6770
550,6784
551,6785
552,6786
553,6787
554,6801
555,6802
556,6803
557,6804
558,6819
559,6833
560,6845
561,6856
562,6863
563,6864
564,6870
565,6871
566,6877
567,6878
568,6879
569,6887
570,6888
571,6899
572,6912
573,6926
574,6927
575,6942
576,6943
577,6944
578,6945
579,6960
580,6961
581,6977
582,6991
583,7028
584,7045
585,7046
586,7070
587,7085
588,7101
589,7102
590,7119
591,7135
592,7243
593,7260
594,7749
595,7750
596,7751
597,7752
598,7766
599,7767
600,7781
601,7792
602,7793
603,7794
604,7802
605,7803
606,7804
607,7805
608,7810
609,7811
610,7812
611,7813
612,7814
613,7817
614,7818
615,7819
616,7820
617,7825
618,7826
619,7827
620,7828
621,7829
622,7835
623,7836
624,7837
625,7847
626,7848
627,7860
628,7873
629,7874
630,7875
631,7876
632,7890
633,7891
634,7892
635,7893
636,7907
637,7908
638,7909
639,7910
640,7924
641,7925
642,7939
643,7951
644,7961
645,7969
646,7970
647,7976
648,7977
649,7983
650,7984
651,7985
652,7993
653,7994
654,8005
655,8018
656,8032
657,8033
658,8034
659,8048
660,8049
661,8050
662,8051
663,8066
664,8067
665,8083
666,8097
667,8134
668,8142
669,8152
670,8163
671,8176
672,8190
673,8191
674,8207
675,8208
676,8225
677,8241
678,8349
679,8366
680,8855
681,8856
682,8857
683,8858
684,8873
685,8887
686,8888
687,8898
688,8899
689,8900
690,8901
691,8902
692,8904
693,8908
694,8909
695,8910
696,8911
697,8912
698,8913
699,8916
700,8917
701,8918
702,8919
703,8920
704,8921
705,8922
706,8923
707,8924
708,8925
709,8926
710,8927
711,8931
712,8932
713,8933
714,8934
715,8935
716,8941
717,8942
718,8943
719,8944
720,8945
721,8946
722,8953
723,8954
724,8966
725,8967
726,8980
727,8981
728,8982
729,8996
730,8997
731,8998
732,8999
733,9014
734,9015
735,9031
736,9045
737,9057
738,9067
739,9068
740,9075
741,9076
742,9077
743,9078
744,9082
745,9083
746,9084
747,9089
748,9090
749,9091
750,9092
751,9099
752,9100
753,9111
754,9124
755,9138
756,9139
757,9155
758,9156
759,9172
760,9173
761,9189
762,9203
763,9233
764,9240
765,9257
766,9258
767,9269
768,9282
769,9297
770,9313
771,9314
772,9331
